directory,url,status,notes
Google Business Profile,https://business.google.com/dashboard,Pending,"Verify categories, add services, post weekly updates."
Practo,https://www.practo.com/hyderabad/doctor/dr-sayuj-krishnan-neurosurgeon,Pending,"Update NAP, add appointment UTM link."
Justdial,https://www.justdial.com/Hyderabad/Dr-Sayuj-Krishnan-Neurosurgeon,Pending,"Confirm phone +91 9778280044 and add photos."
Lybrate,https://www.lybrate.com/hyderabad/doctor/dr-sayuj-krishnan-neurosurgeon,Pending,"Update teleconsult availability."
Skedoc,https://www.skedoc.com/hyderabad/doctor/dr-sayuj-krishnan-neuro-surgeon,Pending,"Request listing claim and ensure services list."
Bing Places,https://www.bingplaces.com/,Pending,"Submit listing; add website +UTM appointment link."
Apple Maps,https://maps.apple.com/,Pending,"Report an issue with correct NAP if listing exists."
Mappls,https://mappls.com/business,Pending,"Submit exact coordinates and opening hours."
Apollo 247,https://www.apollo247.com/,Pending,"Check if profile exists; add backlink if allowed."
Healthgrades India,https://www.healthgrades.com/,Pending,"Create physician profile if available."
Sulekha,https://www.sulekha.com/,Pending,"List under Neurosurgeons Hyderabad; include services."
Yellow Pages India,https://www.yellowpages.in/,Pending,"Submit listing with categories 'Neurosurgeon'."
Just Dial Clinic,https://www.justdial.com/Hyderabad/Yashoda-Hospitals,Pending,"Ensure Dr Sayuj appears under specialists."
Cure.fit Care,https://www.cult.fit/,Pending,"Check partner programme; add doctor profile."
Clinicspots,https://www.clinicspots.com/,Pending,"Add doctor profile with NAP and specialties."
Ziffi,https://www.ziffi.com/,Pending,"Confirm listing; update appointment link."
Sehat,https://www.sehat.com/,Pending,"Update procedures and working hours."
Vaidam,https://www.vaidam.com/,Pending,"Upload credentials and patient stories excerpt."
Medifee,https://www.medifee.com/,Pending,"Add cost guide link once published."
Docprime,https://www.docprime.com/,Pending,"Ensure teleconsult link uses UTM parameters."
WhatClinic,https://www.whatclinic.com/,Pending,"Add international patient messaging CTA."
UrbanPro,https://www.urbanpro.com/,Pending,"Add profile to catch educational queries."
Facebook Business,https://business.facebook.com/,Pending,"Sync NAP across Facebook page."
LinkedIn Company Page,https://www.linkedin.com/company/,Pending,"Create/Update clinic page; add website link."
YouTube Channel,https://www.youtube.com/,Pending,"Add About section with NAP once channel confirmed."
Medium Publication,https://medium.com/,Pending,"Publish thought leadership with clinic link."
