keyword,intent,funnel,geo,cluster_label,recommended_target,difficulty,priority,serp_notes,needs_manual_validation
endoscopic spine surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | endoscopic-discectomy | surgery,/services/minimally-invasive-spine-surgery,High,95,Local Pack + Ads,
best spine surgeon hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | best-doctor | general,/,High,100,Local Pack + Top Stories,
neurosurgeon hyderabad,Commercial,BOFU,HYD,HYD | BOFU | BRAIN | neurosurgeon | general,/,High,90,Local Pack,
slip disc surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | slip-disc | surgery,/conditions/slip-disc-treatment-hyderabad,Med,85,Video snippets present,
sciatica treatment hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | sciatica | treatment,/conditions/sciatica-pain-treatment-hyderabad,Med,80,,
spinal fusion surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | spinal-fusion | surgery,/services/spinal-fusion-surgery-hyderabad,High,75,,
disc replacement surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | disc-replacement | surgery,NEW_PAGE_REQUIRED,High,70,Competitor Gap (Germanten),
micro lumbar disc surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | microdiscectomy | surgery,/services/endoscopic-discectomy-hyderabad,Med,65,,
spinal fixation surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | spinal-fixation | surgery,/services/spinal-fusion-surgery-hyderabad,High,60,,
best neurosurgeon for spine hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | best-doctor | spine,/,Med,85,,
spine surgery cost hyderabad,Informational,MOFU,HYD,HYD | MOFU | SPINE | cost | general,/blog/cost-of-endoscopic-spine-surgery-hyderabad,Med,80,Featured Snippet opportunity,
laser spine surgery hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | laser-surgery | general,/services/minimally-invasive-spine-surgery,Med,50,Often confused with endoscopic,
